GROUP_ID,ARTIFACT_ID,VERSION,LOC,USAGE_NUM,CLASS_NUM
com.github.penggle,commons,1.0.0,1235,0,38
com.malliina,util-base_2.11,1.0.2,2624,2,99
com.guaboy,guaboy-commons,1.0.5,1424,0,24
com.github.drtrang,spring-boot2-autoconfigure,1.1.7,817,1,18
net.databinder,dispatch-http_2.8.1,0.7.7,2537,38,89
net.dreamlu,lutool-ueditor,0.0.2,1591,0,24
com.twitter,distributedlog-mapreduce,0.3.51-RC1,257,0,4
org.dkpro.similarity,dkpro-similarity-algorithms-ml-gpl,2.2.0,203,1,4
com.iussoft,iussoft-uct,3.3.2,11871,0,89
com.feelercloud,esap-base,2.0.32,7280,1,143
net.corda,corda-node,4.1,83860,13,1419
com.flowlogix,flowlogix-datamodel,2.1.2,363,1,12
org.wicketstuff,wicketstuff-jwicket-core,7.0.0,1037,15,25
com.hds.hcpaw,anywhere-fss-sdk,3.0.0.20,17961,0,599
com.rouesnel,typedsql-core-macros_2.11,0.3.2,1261,2,31
com.intenthq.pucket,pucket-core_2.10,1.0.5,4018,5,124
com.intel.qat,parquet-scrooge_2.10,1.10.0,512,0,11
org.springmad,mad-core-common,1.0,288,5,9
org.jdto,jdto,1.3,3887,2,82
com.github.psi-probe,psi-probe-core,3.2.0,19822,4,302
org.keycloak,keycloak-tomcat6-adapter,3.4.2.Final,66,1,3
com.thankjava.toolkit3d,fast-toolkit3d,1.1.2,3051,1,53
com.adobe.cq,cq-dms-tagmanager,5.6.2,1423,0,20
com.github.rebue.wheel,wheel-core,1.1.0,3130,6,54
com.ibm.util.merge,idmu,4.0.0,5615,1,60
io.eels,eel-orc_2.11,0.15.1,868,1,11
org.test4j,test4j-junit5,2.5.4,105,10,4
org.pgscala.embedded,pgscala-embedded_2.12,0.2.2,2958,0,42
fr.maif,jooq-async-api-tck_2.13,1.2.0,514,2,4
org.jasig.portal,uPortal-groups-smartldap,5.0.0-M1,732,0,14
org.cstamas.vertx.sisu,vertx-sisu-local,1.0.1,314,1,7
de.flapdoodle.wicket6,de.flapdoodle.wicket--models,6.7.0,534,1,36
org.zalando,riptide-stream,2.5.0,295,3,8
de.tudarmstadt.ukp.dkpro.keyphrases,de.tudarmstadt.ukp.dkpro.keyphrases.textgraphs-gpl,1.5.0,2439,2,32
com.github.spotbugs,sonar-findbugs-plugin,4.0.0,13133,0,191
com.qwazr,qwazr-server,1.3.0,3459,7,80
de.viaboxx,annomark,2.5.3,1496,1,21
de.felixschulze.maven.plugins.xcode,xcode-maven-plugin,1.2,1065,0,21
org.nuiton.jredmine,jredmine-client,1.4,2994,2,64
org.springframework,spring-web,5.2.2.RELEASE,46654,3936,922
de.unkrig.commons,commons-junit4,1.2.1,58,5,2
org.biacode.escommons,rest-model,1.0.0,374,3,9
com.adobe.granite,com.adobe.granite.xssprotection,5.5.20,166798,17,1695
cn.com.riversoft,weixin-pay,0.9.8,3273,0,47
org.eclipse.hono,hono-adapter-coap-vertx,0.8-M1_1,237,0,8
com.s24.search.solr,solr-bmax-queryparser,2.4.2,1712,0,34
org.evosuite,evosuite-client,1.0.6,122400,4,1258
de.flapdoodle.wicket7,de.flapdoodle.wicket--models,7.0.1,626,1,42
org.opendaylight.alto.core,alto-northbound-route-endpointproperty-impl,0.6.3,351,0,2
com.almis.awe,awe-controller,4.4.1,11370,8,124
org.http4s,http4s-async-http-client_3.0.0-RC2,1.0.0-M21,671,0,8
com.digitalpebble.stormcrawler,storm-crawler-tika,1.8,567,0,4
com.antkorwin,mimetype,0.1,105,0,5
br.gov.frameworkdemoiselle.component.behave,demoiselle-behave-runner-webdriver,1.5.2-BETA1,2045,0,44
org.geoserver,web,1.5.0-RC3,10427,1,103
com.gitee.sunlu,zm-cloud-dao,1.0.0,130,1,5
org.jbpm,jbpm-event-emitters-kafka,7.61.0.Final,183,1,2
org.rapidoid,rapidoid-sql,5.3.3,792,4,10
dk.netdesign,mybatis-extender-api,2.0.0,134,4,5
org.honton.chas,config-cdi,0.1.0,422,0,12
de.maltebehrendt.uppt,core,0.1,1791,2,22
org.owasp.esapi.contrib,esapi-spring-encryptedproperties,1.0.0,94,0,2
io.kubernetes,client-java-proto,14.0.0,507698,20,2638
net.ravendb,ravendb-client,3.1.0,36258,4,728
tech.cassandre.trading.bot,cassandre-trading-bot-spring-boot-autoconfigure,4.3.0,8578,2,117
com.adongs,security-manager-spring-boot-starter,1.1,3417,0,104
jp.co.ctc-g.jfw,jfw-web-core,1.0.1.0,4897,0,91
